start_date,end_date,salary,duration,student_id,high_perc,high_spec,mba_spec,second_perc,gender,degree_perc,placed,experience_years,employability_perc,mba_perc,work_experience,degree_type
2020-02-29,2020-06-19,,6.0,0,78.36,Commerce,Mkt&Fin,80.72,M,66.15,True,1,62.31,73.4,False,Comm&Mgmt
2020-01-04,,23019.0,8.0,1,67.88,Science,Mkt&Fin,68.26,M,67.63,True,1,96.57,63.11,True,Comm&Mgmt
,2020-10-09,20103.0,12.0,2,69.1,Commerce,Mkt&HR,81.37,M,72.44,True,1,73.77,67.17,False,Comm&Mgmt
2020-01-01,2020-10-23,25268.0,6.0,3,77.8,Commerce,Mkt&Fin,61.69,M,58.21,False,1,68.48,61.33,False,Comm&Mgmt
2020-01-06,2020-10-31,,11.0,4,53.42,Commerce,Mkt&Fin,50.0,M,54.58,False,1,72.45,58.98,False,Comm&Mgmt
2020-01-01,,26161.0,11.0,5,76.89,Commerce,Mkt&HR,84.09,M,75.25,True,1,94.14,70.23,False,Comm&Mgmt
2020-01-04,,,,6,69.95,Arts,Mkt&Fin,48.96,M,62.02,True,1,91.89,66.59,False,Comm&Mgmt
2020-01-01,2020-10-16,29242.0,7.0,7,97.7,Science,Mkt&Fin,79.59,F,70.42,False,1,96.93,68.66,False,Comm&Mgmt
2020-01-02,,,5.0,8,59.13,Commerce,Mkt&Fin,79.35,F,73.56,True,1,77.28,73.55,False,Comm&Mgmt
,2020-06-16,,9.0,9,73.37,Science,Mkt&HR,61.54,M,72.81,True,1,54.05,66.46,False,Comm&Mgmt
2020-04-07,2020-10-29,31444.0,6.0,10,82.68,Commerce,Mkt&Fin,61.15,F,75.77,True,1,67.61,66.34,True,Comm&Mgmt
,2020-12-22,,,11,65.79,Commerce,Mkt&HR,72.32,M,58.15,True,1,51.82,59.9,False,Comm&Mgmt
2020-01-02,2020-10-11,28018.0,,12,48.56,Science,Mkt&Fin,54.33,M,51.68,True,1,96.07,51.22,False,Comm&Mgmt
,2020-09-13,,6.0,13,44.98,Arts,Mkt&Fin,55.67,M,62.26,False,1,75.43,57.61,True,Sci&Tech
2020-03-02,,,5.0,14,69.85,Science,Mkt&HR,57.87,M,70.01,True,1,82.46,62.49,True,Sci&Tech
2020-06-20,,44766.0,6.0,15,70.33,Science,Mkt&HR,69.87,M,59.09,True,1,61.83,65.28,False,Comm&Mgmt
2020-03-16,2020-10-18,20327.0,,16,47.82,Science,Mkt&HR,67.66,F,62.75,True,1,69.1,62.44,False,Comm&Mgmt
2020-01-01,,21587.0,11.0,17,70.37,Commerce,Mkt&Fin,70.5,F,70.16,True,1,68.64,68.12,False,Comm&Mgmt
,2020-08-25,23298.0,9.0,18,76.33,Commerce,Mkt&HR,71.45,M,74.59,True,1,69.47,65.73,False,Sci&Tech
2020-04-30,2020-05-05,29810.0,5.0,19,66.05,Commerce,Mkt&HR,67.09,M,78.35,True,1,82.05,67.46,False,Comm&Mgmt
,2020-04-08,29719.0,7.0,20,58.78,Science,Mkt&HR,59.39,M,63.74,False,1,51.21,61.46,False,Sci&Tech
2020-03-01,,26483.0,5.0,21,63.07,Science,Mkt&HR,58.77,F,67.47,False,1,55.43,54.84,False,Sci&Tech
